model,task,lead_months,source_file,metric,value
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,best_val_loss,0.7392914295196533
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,best_val_loss,0.9497633576393127
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,best_val_loss,0.9408223032951355
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,best_val_loss,0.8429692387580872
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,best_val_loss,1.0455718040466309
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,best_val_loss,1.0718724727630615
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,best_val_loss,0.16705431044101715
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,best_val_loss,0.49264296889305115
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,best_val_loss,0.8570333123207092
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,best_val_loss,0.1935221552848816
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,best_val_loss,0.5138354301452637
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,best_val_loss,0.8861668705940247
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,val_accuracy,0.6481481481481481
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,val_accuracy,0.5
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,val_accuracy,0.5833333333333334
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,val_accuracy,0.6203703703703703
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,val_accuracy,0.4351851851851852
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,val_accuracy,0.4444444444444444
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,val_accuracy,0.7222222222222222
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,val_accuracy,0.48148148148148145
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,val_accuracy,0.5092592592592593
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,val_f1_macro,0.6089811096236799
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,val_f1_macro,0.4343915343915345
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,val_f1_macro,0.42744082308079717
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,val_f1_macro,0.5841497339138848
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,val_f1_macro,0.31394858828487143
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,val_f1_macro,0.20512820512820515
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,val_f1_macro,0.7307377767392955
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,val_f1_macro,0.41431992337164747
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,val_f1_macro,0.34288815953433954
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,val_auc_macro,0.8028737874102928
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,val_auc_macro,0.6846826040597901
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,val_auc_macro,0.7278779661603875
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,val_auc_macro,0.7755609605127652
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,val_auc_macro,0.546558468909313
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,val_auc_macro,0.6719604159306183
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,val_auc_macro,0.8714968150032752
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,val_auc_macro,0.6776978698932389
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,val_auc_macro,0.5960580568995112
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,val_bss,0.2376408514024947
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,val_bss,0.059577094235875094
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,val_bss,0.12660725691007158
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,val_bss,0.15195298207954755
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,val_bss,-0.019779744484343942
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,val_bss,-0.01905739383065308
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,val_bss,0.35268574919470497
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,val_bss,0.0435021226533836
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,val_bss,0.020492877008496113
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,test_accuracy,0.7047619047619048
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,test_accuracy,0.5490196078431373
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,test_accuracy,0.3958333333333333
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,test_accuracy,0.6
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,test_accuracy,0.4019607843137255
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,test_accuracy,0.3229166666666667
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,test_accuracy,0.6857142857142857
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,test_accuracy,0.45098039215686275
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,test_accuracy,0.3645833333333333
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,test_f1_macro,0.6970576848625628
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,test_f1_macro,0.4973544973544974
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,test_f1_macro,0.2413479052823315
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,test_f1_macro,0.6087643350801245
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,test_f1_macro,0.31457431457431456
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,test_f1_macro,0.21104122990915442
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,test_f1_macro,0.6965256277949777
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,test_f1_macro,0.43081166272655635
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,test_f1_macro,0.2724423102574363
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,test_auc_macro,0.874190658441325
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,test_auc_macro,0.6941943403017965
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,test_auc_macro,0.5186285189385612
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,test_auc_macro,0.8461282085244468
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,test_auc_macro,0.6666860437419647
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,test_auc_macro,0.5450813872773946
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,test_auc_macro,0.8512410929703664
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,test_auc_macro,0.6752706101664435
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,test_auc_macro,0.47139317863758273
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,test_bss,0.3916887754996172
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,test_bss,0.09718408411581958
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,test_bss,-0.3033090029323222
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,test_bss,0.27825526218409935
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,test_bss,0.05168658351099209
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,test_bss,-0.10039706021277395
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,test_bss,0.29070884471983005
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,test_bss,0.007723048860106663
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,test_bss,-0.0768424648305095
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,val_rmse,0.40872281789779663
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,val_rmse,0.7018853425979614
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,val_rmse,0.9257609248161316
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,val_rmse,0.43991154432296753
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,val_rmse,0.7168232202529907
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,val_rmse,0.9413643479347229
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,val_rmse,0.42744097113609314
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,val_rmse,0.7255063652992249
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,val_rmse,0.9535455107688904
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,val_mae,0.3261912763118744
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,val_mae,0.5560659170150757
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,val_mae,0.7131423950195312
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,val_mae,0.3514919877052307
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,val_mae,0.6011174321174622
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,val_mae,0.7206185460090637
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,val_mae,0.3284763991832733
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,val_mae,0.5850560069084167
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,val_mae,0.7528886198997498
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,val_corr,0.8420624551487693
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,val_corr,0.4784231701527396
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,val_corr,0.3299069013080303
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,val_corr,0.83404326850491
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,val_corr,0.4755003118546519
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,val_corr,0.20181217387572986
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,val_corr,0.831420148800227
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,val_corr,0.45142862723113136
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,val_corr,0.11881229964400063
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,val_r2,0.7051936388015747
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,val_r2,0.18709731101989746
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,val_r2,0.04335135221481323
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,val_r2,0.6584849953651428
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,val_r2,0.1521279215812683
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,val_r2,0.01083153486251831
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,val_r2,0.677573025226593
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,val_r2,0.1314622163772583
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,val_r2,-0.014933466911315918
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,test_rmse,0.4500688910484314
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,test_rmse,0.74239581823349
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,test_rmse,0.931228756904602
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,test_rmse,0.3976772725582123
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,test_rmse,0.8119228482246399
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,test_rmse,0.9003865122795105
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,test_rmse,0.422201007604599
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,test_rmse,0.80961012840271
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,test_rmse,0.8657035231590271
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,test_mae,0.3498746156692505
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,test_mae,0.6018756628036499
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,test_mae,0.7458643913269043
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,test_mae,0.3268262445926666
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,test_mae,0.6562603116035461
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,test_mae,0.7466760277748108
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,test_mae,0.33797746896743774
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,test_mae,0.6521949172019958
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,test_mae,0.7133986353874207
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,test_corr,0.9112669295630118
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,test_corr,0.7620795387348178
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,test_corr,0.02555539784465799
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,test_corr,0.9341425022977523
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,test_corr,0.6004932343273766
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,test_corr,0.14688987840549858
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,test_corr,0.9309647430077076
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,test_corr,0.6816143936428868
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,test_corr,0.06436692071916117
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,test_r2,0.797252893447876
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,test_r2,0.45197200775146484
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,test_r2,-0.1610041856765747
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,test_r2,0.8417083024978638
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,test_r2,0.34451723098754883
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,test_r2,-0.08537280559539795
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,test_r2,0.8215833902359009
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,test_r2,0.34824609756469727
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,test_r2,-0.00336611270904541
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,best_iteration,130.0
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,best_iteration,39.0
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,best_iteration,9.0
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,best_iteration,326.0
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,best_iteration,18.0
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,best_iteration,1.0
